source_row,vendor,transmittal_no,vendor_document_no,project_document_drawing_no,project_doc_no,revision_raw,revision,description,match_status,match_method,match_source_field,matched_document,candidates,reason
16,DANEM,DEW-5718-T-006,DEW-CP-00001,-,,0,0,COMMUNICATION PROTOCOL,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
17,DANEM,DEW-5718-T-007,DEW-CV-00001,-,,0,0,CVs of Key Personnel (11 nos.),NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
18,DANEM,DEW-5718-T-008,5618-STNGL-DANEM-EPE-SCA-001,-,,-,,Subcontract Agreement for Engergoprojekt Entel LTD,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
19,DANEM,DEW-5718-T-009,DEW-PQP-00001,-,,1,1,PROJECT QUALITY PLAN Rev-1,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
20,BAUER INTERNATIONAL QATAR LLC,QT169-OT-002,,BQ/IMS/QT-169/DS-02,,0,0,Verification of Grouting Wall for Total Normal Stresses,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
21,DANEM,DEW-5718-T-010,DEW-5718-MS-001,-,,0,0,Method Statement for the Erection of Site Assembled Tank,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
22,DANEM,DEW-5718-T-011,DEW-PQP-00001,VEN-4391-MTY-0-04-0001,,2,2,"PROJECT QUALITY PLAN FOR ENGINEERING, PROCUREMENT, INSTALLATION, CONSTRUCTION, PRE-COMMISSIONING, COMMISSIONING, STARTUP, AND PERFORMANCE TESTING OF TANKS-Rev.2",EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MTY-0-04-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
23,DANEM,DEW-5718-T-012,4391-MOM-DANEM-0002,-,,0,0,WEEKLY PROGRESS MEETING MINUTES DANEM ENGINEERING – STORAGE TANKS WORK,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
24,DANEM,DEW-5718-T-013,4391-MEWTP-5-17-4001,-,,0,0,TANK DESIGN CALCULATION REPORT FOR T-8952 A/B,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
25,DANEM,DEW-5718-T-014,DEW-5718-TDC01/02/03,-,,0,0,TECHNICAL DELIVERY CONDITION,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
26,DANEM,DEW-5718-T-015,DEW-5718-FT-01,-,,0,0,FERRITE TEST PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
27,DANEM,DEW-5718-T-015,DEW-5718-HT-01,-,,0,0,HARDNESS EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
28,DANEM,DEW-5718-T-015,DEW-5718-LPE-01,-,,0,0,LIQUID PENETRANT EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
29,DANEM,DEW-5718-T-015,DEW-5718-MPE-01,-,,0,0,MAGNETIC PARTICLE EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
30,DANEM,DEW-5718-T-015,DEW-5718-OP-01,-,,0,0,OIL AND CHALK TEST PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
31,DANEM,DEW-5718-T-015,DEW-5718-PMI-01,-,,0,0,PROCEDURE FOR POSITIVE MATERIAL IDENTIFICATION,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
32,DANEM,DEW-5718-T-015,DEW-5718-PWHT-01,-,,0,0,PRE & POST WELD HEAT TREATMENT EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
33,DANEM,DEW-5718-T-015,DEW-5718-RT-01,-,,0,0,RADIOGRAPHIC EXAMINATION PROCEDURE FOR GAMMA RAY & X-RAY,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
34,DANEM,DEW-5718-T-015,DEW-5718-UT-01,-,,0,0,ULTRASONIC EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
35,DANEM,DEW-5718-T-015,DEW-5718-VBT-01,-,,0,0,VACUUM BOX LEAK TEST PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
36,DANEM,DEW-5718-T-016,DEW-5718-HIC-01,VEN-4391-MTY-5-19-0001,,0,0,METHOD STATEMENT FOR HYDROGEN INDUCED CRACKING (HIC) AS PER NACE TM0284 (M/S LONESTAR),EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MTY-5-19-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
37,DANEM,DEW-5718-T-017,4391-MOM-DANEM-0003,-,,0,0,WEEKLY PROGRESS MEETING MINUTES DANEM ENGINEERING-STORAGE TANKS WORKS,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
38,DANEM,DEW-5718-T-018,DEW-5718-NDE-CV-001,-,,0,0,NDT PERSONEL QUALIFICATION,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
39,DANEM,DEW-5718-T-019,ENG-TQ-001,-,,0,0,TQ FOR NOZZLE ORIENTATION T-8952A/B / ROOF PLATFORM,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
40,DANEM,DEW-5718-T-019,ENG-TQ-002,-,,0,0,TQ FOR BOTTOM SUMP PIT FOR T-8952,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
41,DANEM,DEW-5718-T-020,4391-MEWTP-5-17-4001,VEN-4391-MEWTP-5-12-0001,,1,1,TANK DESIGN CALCULATION REPORT FOR T-8952 A/B,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-12-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
42,DANEM,DEW-5718-T-021,DEW-5718-TDC01/02/03,-,,1,1,TECHNICAL DELIVERY CONDITION,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
43,DANEM,DEW-5718-T-022,4391-MEWTP-0-00-0001,-,,0,0,EDDR FOR STORAGE TANK (ENERGOPROJEKT ENTEL LTD),NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
44,DANEM,DEW-5718-T-022,DEW-5718-VDRL-01,-,,0,0,VENDOR DOCUMENT REGISTER LIST,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
45,DANEM,DEW-5718-T-023,4391-MOM-DANEM-0004,-,,0,0,WEEKLY PROGRESS MEETING MINUTES DANEM ENGINEERING – STORAGE TANKS WORK,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
46,DANEM,DEW-5718-T-024,DEW-5718-TDC01/02/03,-,,2,2,TECHNICAL DELIVERY CONDITION,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
47,DANEM,DEW-5718-T-025,DEW-5718-FT-01,-,,1,1,FERRITE TEST PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
48,DANEM,DEW-5718-T-025,DEW-5718-HT-01,-,,1,1,HARDNESS EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
49,DANEM,DEW-5718-T-025,DEW-5718-LPE-01,-,,1,1,LIQUID PENETRANT EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
50,DANEM,DEW-5718-T-025,DEW-5718-MPE-01,-,,1,1,MAGNETIC PARTICLE EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
51,DANEM,DEW-5718-T-025,DEW-5718-OP-01,-,,1,1,OIL AND CHALK TEST PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
52,DANEM,DEW-5718-T-025,DEW-5718-PMI-01,-,,1,1,PROCEDURE FOR POSITIVE MATERIAL IDENTIFICATION,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
53,DANEM,DEW-5718-T-025,DEW-5718-PWHT-01,-,,1,1,PRE & POST WELD HEAT TREATMENT EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
54,DANEM,DEW-5718-T-025,DEW-5718-RT-01,-,,1,1,RADIOGRAPHIC EXAMINATION PROCEDURE FOR GAMMA RAY & X-RAY,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
55,DANEM,DEW-5718-T-025,DEW-5718-UT-01,-,,1,1,ULTRASONIC EXAMINATION PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
56,DANEM,DEW-5718-T-025,DEW-5718-VBT-01,-,,1,1,VACUUM BOX LEAK TEST PROCEDURE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
57,DANEM,DEW-5718-T-026,DEW-5718-NDE-CV-001,VEN-4391-MEWTP-5-05-0013,,1,1,NDT PERSONEL QUALIFICATION,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0013,,exact match on PROJECT_DOCUMENT_DRAWING_NO
58,DANEM,DEW-5718-T-027,4391-MOM-DANEM-0005,-,,0,0,WEEKLY PROGRESS MEETING MINUTES-0005 DANEM ENGINEERING – STORAGE TANKS WORK,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
59,DANEM,DEW-5718-T-028,DEW-5718-MTC-01,-,,0,0,MATERIAL TEST CERTIFICATE (MTC) FOR 8MM & 12MM PLATE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
60,DANEM,DEW-5718-T-029,DEW-5718-ITP-01,-,,0,0,INSPECTION AND TEST PLAN FOR PRE-FABRICATION & ERECTION OF STORAGE TANKS,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
61,DANEM,DEW-5718-T-030,4391-MOM-DANEM-0006,-,,0,0,WEEKLY PROGRESS MEETING MINUTES-0006 DANEM ENGINEERING-STORAGE TANKS WORK,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
62,DANEM,DEW-5718-T-031,EMAIL 06-08-2023,-,,0,0,"FOUNDATION LOAD DATA FOR T8948, T8949, T8950, T8952",NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
63,DANEM,DEW-5718-T-032,DEW-5718-FT-01,VEN-4391-MEWTP-5-05-0014,,2,2,FERRITE TEST PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0014,,exact match on PROJECT_DOCUMENT_DRAWING_NO
64,DANEM,DEW-5718-T-032,DEW-5718-HT-01,VEN-4391-MEWTP-5-05-0015,,2,2,HARDNESS EXAMINATION PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0015,,exact match on PROJECT_DOCUMENT_DRAWING_NO
65,DANEM,DEW-5718-T-032,DEW-5718-LPE-01,VEN-4391-MEWTP-5-05-0016,,2,2,LIQUID PENETRANT EXAMINATION PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0016,,exact match on PROJECT_DOCUMENT_DRAWING_NO
66,DANEM,DEW-5718-T-032,DEW-5718-MPE-01,VEN-4391-MEWTP-5-05-0017,,2,2,MAGNETIC PARTICLE EXAMINATION PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0017,,exact match on PROJECT_DOCUMENT_DRAWING_NO
67,DANEM,DEW-5718-T-032,DEW-5718-OP-01,VEN-4391-MEWTP-5-05-0018,,2,2,OIL AND CHALK TEST PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0018,,exact match on PROJECT_DOCUMENT_DRAWING_NO
68,DANEM,DEW-5718-T-032,DEW-5718-PMI-01,VEN-4391-MEWTP-5-05-0019,,2,2,PROCEDURE FOR POSITIVE MATERIAL IDENTIFICATION FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0019,,exact match on PROJECT_DOCUMENT_DRAWING_NO
69,DANEM,DEW-5718-T-032,DEW-5718-PWHT-01,VEN-4391-MEWTP-5-05-0020,,2,2,PRE & POST WELD HEAT TREATMENT EXAMINATION PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0020,,exact match on PROJECT_DOCUMENT_DRAWING_NO
70,DANEM,DEW-5718-T-032,DEW-5718-RT-01,VEN-4391-MEWTP-5-05-0021,,2,2,RADIOGRAPHIC EXAMINATION PROCEDURE FOR GAMMA RAY & X-RAY FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0021,,exact match on PROJECT_DOCUMENT_DRAWING_NO
71,DANEM,DEW-5718-T-032,DEW-5718-UT-01,VEN-4391-MEWTP-5-05-0022,,2,2,ULTRASONIC EXAMINATION PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0022,,exact match on PROJECT_DOCUMENT_DRAWING_NO
72,DANEM,DEW-5718-T-032,DEW-5718-VBT-01,VEN-4391-MEWTP-5-05-0023,,2,2,VACUUM BOX LEAK TEST PROCEDURE FOR TANK WORKS-M/S QIS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-05-0023,,exact match on PROJECT_DOCUMENT_DRAWING_NO
73,DANEM,DEW-5718-T-033,DEW-5718-VDRL-01,VEN-4391-MEWTP-0-00-0009,,1,1,VENDOR DOCUMENT REGISTER LIST,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-0-00-0009,,exact match on PROJECT_DOCUMENT_DRAWING_NO
74,DANEM,-,Nozzle Orientation T-8950A,-,,-,,Piping Mechanical - Nozzle Orientation Drawing - 4391 EPIC for NEWTP,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
75,DANEM,DEW-5718-T-034,DEW-5718-PP-001,-,,1,1,PLANNING PACKAGE,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
76,DANEM,UNI-DOC-0001,DEW-5718-MS-001,VEN-4391-MEWTP-6-59-0001,SUBMITTED TO QE,0,0,BLOCK FLOW DIAGRAM,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-6-59-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
77,UNIDRO,UNI-DOC-0001,4391-MEWTP-0-00-0001,VEN-4391-MEWTP-6-59-0002,SUBMITTED TO QE,0,0,PROCESS FLOW DIAGRAM WITH MASS BALANCE,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-6-59-0002,,exact match on PROJECT_DOCUMENT_DRAWING_NO
78,UNIDRO,UNI-DOC-0001,4391-5-TDR-0001,VEN-4391-MEWTP-6-05-0001,SUBMITTED TO QE,0,0,PROCESS DESCRIPTION,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-6-05-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
79,UNIDRO,UNI-DOC-0001,1410-00-A211-01,VEN-4391-MEWTP-6-50-0002,SUBMITTED TO QE,0,0,PIPING AND INSTRUMENTATION DIAGRAMS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-6-50-0002,,exact match on PROJECT_DOCUMENT_DRAWING_NO
80,UNIDRO,UNI-DOC-0001,1410-00-A411-01,VEN-4391-MEWTP-5-50-0001,SUBMITTED TO QE,0,0,PLOT PLAN,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-50-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
81,UNIDRO,UNI-DOC-0001,1410-00-A412-01,VEN-4391-MEWTP-5-36-0001,,0,0,TIE-IN LIST,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
82,UNIDRO,UNI-DOC-0001,1410-00-B121-01,VEN-4391-MEWTP-5-14-0003,SUBMITTED TO QE Change in Doc no. as per TEN,0,0,PIPING CLASSES,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-14-0003,,exact match on PROJECT_DOCUMENT_DRAWING_NO
83,UNIDRO,UNI-DOC-0001,1410-00-D111-01,VEN-4391-MEWTP-5-13-0001,SUBMITTED TO QE,0,0,PRESSURE VESSELS DATASHEET - AIR SATURATION VESSELS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
84,UNIDRO,UNI-DOC-0001,1410-00-D111-02,VEN-4391-MEWTP-5-13-0002,SUBMITTED TO QE,0,0,PRESSURE VESSELS DATASHEET - MULTIMEDIA FILTERS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0002,,exact match on PROJECT_DOCUMENT_DRAWING_NO
85,UNIDRO,UNI-DOC-0001,1410-00-D111-03,VEN-4391-MEWTP-5-13-0003,SUBMITTED TO QE,0,0,PRESSURE VESSELS DATASHEET - ACTIVATED CARBON FILTERS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0003,,exact match on PROJECT_DOCUMENT_DRAWING_NO
86,UNIDRO,UNI-DOC-0001,1410-00-D111-04,VEN-4391-MEWTP-5-13-0004,SUBMITTED TO QE,0,0,PRESSURE VESSELS DATASHEET - OFF-GAS DRUM,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0004,,exact match on PROJECT_DOCUMENT_DRAWING_NO
87,UNIDRO,UNI-DOC-0001,1410-00-D211-01,VEN-4391-MEWTP-5-13-0005,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - OIL STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0005,,exact match on PROJECT_DOCUMENT_DRAWING_NO
88,UNIDRO,UNI-DOC-0001,1410-00-D211-02,VEN-4391-MEWTP-5-13-0006,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - DAF UNITS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0006,,exact match on PROJECT_DOCUMENT_DRAWING_NO
89,UNIDRO,UNI-DOC-0001,1410-00-D211-03,VEN-4391-MEWTP-5-13-0007,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - OILY SLUDGE HOLDING TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0007,,exact match on PROJECT_DOCUMENT_DRAWING_NO
90,UNIDRO,UNI-DOC-0001,1410-00-D211-04,VEN-4391-MEWTP-5-13-0010,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - BIOLOGICAL SLUDGE THICKENER,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0010,,exact match on PROJECT_DOCUMENT_DRAWING_NO
91,UNIDRO,UNI-DOC-0001,1410-00-D211-06,VEN-4391-MEWTP-5-13-0012,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - BACKWASH STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0012,,exact match on PROJECT_DOCUMENT_DRAWING_NO
92,UNIDRO,UNI-DOC-0001,1410-00-D211-07,VEN-4391-MEWTP-5-13-0013,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - ORG-S STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0013,,exact match on PROJECT_DOCUMENT_DRAWING_NO
93,UNIDRO,UNI-DOC-0001,1410-00-D211-08,VEN-4391-MEWTP-5-13-0014,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - COAGULANT STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0014,,exact match on PROJECT_DOCUMENT_DRAWING_NO
94,UNIDRO,UNI-DOC-0001,1410-00-D211-09,VEN-4391-MEWTP-5-13-0015,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - HYDROCHLORIC ACID STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0015,,exact match on PROJECT_DOCUMENT_DRAWING_NO
95,UNIDRO,UNI-DOC-0001,1410-00-D211-10,VEN-4391-MEWTP-5-13-0016,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - HYDROCHLORIC ACID FUME TRAP,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0016,,exact match on PROJECT_DOCUMENT_DRAWING_NO
96,UNIDRO,UNI-DOC-0001,1410-00-D211-11,VEN-4391-MEWTP-5-13-0017,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - POTASSIUM HYDROXIDE STORAGE TANK TO DAF,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0017,,exact match on PROJECT_DOCUMENT_DRAWING_NO
97,UNIDRO,UNI-DOC-0001,1410-00-D211-12,VEN-4391-MEWTP-5-13-0018,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - POTASSIUM HYDROXIDE STORAGE TANK TO BIO,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0018,,exact match on PROJECT_DOCUMENT_DRAWING_NO
98,UNIDRO,UNI-DOC-0001,1410-00-D211-13,VEN-4391-MEWTP-5-13-0019,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - FLOCCULANT PREPARATION TANK TO DAF,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0019,,exact match on PROJECT_DOCUMENT_DRAWING_NO
99,UNIDRO,UNI-DOC-0001,1410-00-D211-14,VEN-4391-MEWTP-5-13-0020,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - PHOSPHORIC ACID STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0020,,exact match on PROJECT_DOCUMENT_DRAWING_NO
100,UNIDRO,UNI-DOC-0001,1410-00-D211-15,VEN-4391-MEWTP-5-13-0021,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - ACETIC ACID STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0021,,exact match on PROJECT_DOCUMENT_DRAWING_NO
101,UNIDRO,UNI-DOC-0001,1410-00-D211-16,VEN-4391-MEWTP-5-13-0022,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - UREA STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0022,,exact match on PROJECT_DOCUMENT_DRAWING_NO
102,UNIDRO,UNI-DOC-0001,1410-00-D211-17,VEN-4391-MEWTP-5-13-0023,SUBMITTED TO QE,0,0,ATMOSPHERIC TANK DATASHEET - SODIUM HYPOCHLORITE STORAGE TANK,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0023,,exact match on PROJECT_DOCUMENT_DRAWING_NO
103,UNIDRO,UNI-DOC-0001,1410-00-L111-01,VEN-4391-MEWTP-0-00-0001,,0,0,VENDOR DOCUMENT INDEX,NOT_MATCHED,,,,,no QE document carries any of this row's identifiers
104,UNIDRO,UNI-DOC-0001,1410-00-L211-01,VEN-4391-MEWTP-5-30-0001,SUBMITTED TO QE,0,0,EQUIPMENT LIST,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-30-0001,,exact match on PROJECT_DOCUMENT_DRAWING_NO
105,UNIDRO,UNI-DOC-0001,1410-00-M111-01,VEN-4391-MEWTP-5-13-0028,SUBMITTED TO QE,0,0,ROTATING EQUIPMENT DATASHEET - CENTRIFUGAL PUMPS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0028,,exact match on PROJECT_DOCUMENT_DRAWING_NO
106,UNIDRO,UNI-DOC-0001,1410-00-M111-02,VEN-4391-MEWTP-5-13-0029,SUBMITTED TO QE,0,0,ROTATING EQUIPMENT DATASHEET - DOSING PUMPS,EXACT,EXACT,PROJECT_DOCUMENT_DRAWING_NO,VEN-4391-MEWTP-5-13-0029,,exact match on PROJECT_DOCUMENT_DRAWING_NO
